Player	Pos	Age	Team	MP	O-PIPM	D-PIPM	PIPM
Spencer Dinwiddie	PG	25	BRK	2,045	+1.52	-2.29	-0.77
Malik Beasley	SG	22	DEN	2,16	+1.03	-1.81	-0.77
Ersan Ilyasova	PF	31	MIL	1,231	-0.52	-0.25	-0.77
Kentavious Caldwell-Pope	SG	25	LAL	2,035	+1.19	-1.96	-0.77
Jared Terrell	SG	23	MIN	111	-0.64	-0.14	-0.77
Matthew Dellavedova	PG	28	TOT	812	-0.17	-0.61	-0.78
Jared Dudley	PF	33	BRK	1,302	-0.82	+0.03	-0.78
Ivan Rabb	PF	21	MEM	721	-0.23	-0.56	-0.78
Markelle Fultz	SG	20	PHI	427	-1.27	+0.48	-0.79
Tim Hardaway	SG	26	TOT	2,057	+1.55	-2.33	-0.79
Tyler Johnson	PG	26	TOT	1,529	+0.11	-0.90	-0.79
Alex Poythress	PF	25	ATL	305	-0.91	+0.12	-0.80
Malachi Richardson	SG	23	TOR	103	-0.63	-0.17	-0.80
Dennis Schroder	PG	25	OKC	2,314	+0.57	-1.38	-0.81
Darius Miller	SF	28	NOP	1,757	-0.11	-0.70	-0.81
Jodie Meeks	SG	31	TOR	170	-0.35	-0.47	-0.82
Luke Kennard	SG	22	DET	1,57	+0.43	-1.25	-0.82
Chimezie Metu	PF	21	SAS	145	-0.83	+0.00	-0.83
Justin Jackson	SF	23	TOT	1,614	+0.11	-0.94	-0.83
Michael Beasley	PF	30	LAL	277	-0.49	-0.35	-0.83
Brandon Sampson	SG	21	CHI	214	-0.47	-0.38	-0.85
Trey Lyles	PF	23	DEN	1,128	-0.55	-0.31	-0.85
Julian Washburn	SF	27	MEM	254	-1.09	+0.22	-0.87
Chandler Hutchison	SF	22	CHI	895	-1.55	+0.67	-0.88
Jason Smith	PF-C	32	TOT	190	-0.93	+0.04	-0.89
Iman Shumpert	SG	28	TOT	1,59	-0.77	-0.12	-0.89
Donte DiVincenzo	SG	22	MIL	411	-0.46	-0.44	-0.90
JaMychal Green	PF	28	TOT	1,512	-0.76	-0.15	-0.92
Devonte' Graham	PG	23	CHO	676	-0.02	-0.89	-0.92
Edmond Sumner	PG	23	IND	212	-0.93	+0.00	-0.93
Tony Parker	PG	36	CHO	1,003	+0.33	-1.25	-0.93
Omari Spellman	PF	21	ATL	805	-0.36	-0.57	-0.93
Daniel Hamilton	SG	23	ATL	204	-0.84	-0.09	-0.93
Dwayne Bacon	SG	23	CHO	759	+0.05	-0.98	-0.93
Troy Williams	SF	24	SAC	312	-1.24	+0.27	-0.96
E'Twaun Moore	SG	29	NOP	1,463	+0.25	-1.23	-0.98
Jevon Carter	PG	23	MEM	577	-1.26	+0.29	-0.98
Jalen Brunson	PG	22	DAL	1,591	+0.37	-1.35	-0.98
Wade Baldwin	PG	22	POR	94	-0.78	-0.21	-0.99
Enes Kanter	C	26	TOT	2,101	+0.44	-1.44	-0.99
Zaza Pachulia	C	34	DET	900	-1.67	+0.67	-1.00
Jaron Blossomgame	SF	25	CLE	439	-0.97	-0.04	-1.01
Guerschon Yabusele	PF	23	BOS	265	-0.59	-0.42	-1.01
