Year,Player,Pos,Age,Tm,G,GS,PTS,Minutes Played,PER,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS2
2017,Marshall Plumlee,C,24,NYK,21,1,40,170,10.9,0.521,14.5,17.8,16.2,8.1,1.2,1.9,23.8,12.8,0,0.1,0.2,0.048,-2.9,0.1,-2.8,0,16,30,0.533,0,0,0,16,30,0.533,0.533,8,19,0.421,23,28,51,10,4,4,12,23,40
2017,Marvin Williams,PF,30,CHO,76,76,849,2295,13.7,0.551,4.2,19.7,11.9,7.1,1.3,2,7.2,16.3,2.4,2.6,5,0.105,-0.3,0.5,0.2,1.3,297,704,0.422,124,354,0.35,173,350,0.494,0.51,131,150,0.873,89,409,498,106,58,53,60,134,849
2017,Mason Plumlee,C,26,TOT,81,64,842,2148,18.1,0.558,8.8,22.5,15.6,19.8,1.6,3.4,15.2,18.1,3.6,2.5,6,0.134,0,2.6,2.6,2.5,334,623,0.536,0,6,0,334,617,0.541,0.536,174,300,0.58,170,436,606,284,69,92,135,226,842
2017,Mason Plumlee,C,26,POR,54,54,597,1516,18.9,0.552,8.7,23,15.8,21.4,1.6,3.3,14.1,18.3,2.8,1.8,4.6,0.146,0.3,2.8,3.1,1.9,235,442,0.532,0,5,0,235,437,0.538,0.532,127,224,0.567,120,313,433,214,50,63,89,149,597
2017,Mason Plumlee,C,26,DEN,27,10,245,632,16.3,0.571,8.8,21.3,15.1,15.9,1.5,3.6,17.7,17.5,0.8,0.6,1.4,0.107,-0.7,2.2,1.5,0.6,99,181,0.547,0,1,0,99,180,0.55,0.547,47,76,0.618,50,123,173,70,19,29,46,77,245
2017,Matt Barnes,SF,36,TOT,74,18,527,1777,10.3,0.514,4.6,19.9,12.4,15.6,1.3,1.3,17.3,15.6,0.3,1.7,2,0.053,-1.2,0.6,-0.6,0.6,185,473,0.391,87,263,0.331,98,210,0.467,0.483,70,89,0.787,70,317,387,194,48,26,107,185,527
2017,Matt Barnes,SF,36,SAC,54,13,413,1367,10.2,0.501,4.7,20.1,12.5,16.2,1.3,1.1,16.8,16.4,-0.1,1.1,1,0.034,-1.2,0.3,-1,0.4,147,383,0.384,69,211,0.327,78,172,0.453,0.474,50,66,0.758,55,241,296,149,36,17,83,138,413
2017,Matt Barnes,SF,36,GSW,20,5,114,410,10.7,0.569,4.3,19.1,12.2,13.7,1.4,1.7,19.3,13.1,0.3,0.6,1,0.115,-1,1.6,0.6,0.3,38,90,0.422,18,52,0.346,20,38,0.526,0.522,20,23,0.87,15,76,91,45,12,9,24,47,114
2017,Matthew Dellavedova,PG,26,MIL,76,54,577,1986,9.4,0.501,1.4,7.1,4.3,25.7,1.4,0,18.8,16.3,0.3,0.9,1.2,0.029,-1.9,-2.8,-4.7,-1.4,208,534,0.39,79,215,0.367,129,319,0.404,0.463,82,96,0.854,24,123,147,357,53,0,133,153,577
2017,Maurice Harkless,SF,23,POR,77,69,773,2223,13.2,0.57,6.2,10.8,8.5,6,1.9,2.5,11.1,15.1,2.4,1.9,4.2,0.092,0,0.8,0.8,1.5,314,624,0.503,68,194,0.351,246,430,0.572,0.558,77,124,0.621,125,216,341,89,85,70,85,214,773
2017,Maurice Ndour,PF,24,NYK,32,4,98,331,11.3,0.503,7.1,13.7,10.4,3.5,2.3,2,11,14.3,0.1,0.3,0.4,0.059,-3.5,-0.3,-3.8,-0.1,39,86,0.453,1,7,0.143,38,79,0.481,0.459,19,26,0.731,22,42,64,8,15,8,12,30,98
2017,Metta World,SF,37,LAL,25,2,57,160,6.2,0.38,3.3,10.6,6.8,9.8,2.7,1,8.5,21.9,-0.3,0.1,-0.2,-0.065,-4.2,-2.4,-6.6,-0.2,19,68,0.279,9,38,0.237,10,30,0.333,0.346,10,16,0.625,5,15,20,11,9,2,7,18,57
2017,Meyers Leonard,PF,24,POR,74,12,401,1222,8.9,0.507,2.4,19,10.7,8.4,0.5,1.8,8.1,15.5,0.5,0.8,1.4,0.053,-2.1,-1.3,-3.4,-0.4,146,378,0.386,74,213,0.347,72,165,0.436,0.484,35,40,0.875,27,209,236,71,13,28,35,172,401
2017,Michael Beasley,PF,28,MIL,56,6,528,935,17.8,0.584,5,18.9,12,9.9,1.5,2.5,12.7,25.3,0.8,1,1.8,0.093,-1.7,-1.1,-2.9,-0.2,216,406,0.532,18,43,0.419,198,363,0.545,0.554,78,105,0.743,40,153,193,53,28,27,66,92,528
2017,Michael Carter-Williams,PG,25,CHI,45,19,297,846,9.9,0.437,3,16.4,9.7,20,2.3,2.2,16.3,20.9,-1,1.3,0.2,0.013,-4.1,1.7,-2.4,-0.1,112,306,0.366,15,64,0.234,97,242,0.401,0.391,58,77,0.753,24,128,152,113,38,23,66,102,297
2017,Michael Gbinije,SG,24,DET,9,0,4,32,-2.1,0.184,6.6,3.5,5.1,7.9,0,0,0,15,-0.1,0,-0.1,-0.136,-7.7,-2.8,-10.4,-0.1,1,10,0.1,0,4,0,1,6,0.167,0.1,2,2,1,2,1,3,2,0,0,0,2,4
2017,Michael Kidd-Gilchrist,SF,23,CHO,81,81,743,2349,14.3,0.528,7.3,19.3,13.2,7.4,1.7,2.9,7.4,14.6,2.7,3.1,5.8,0.119,-2,2.2,0.2,1.3,295,618,0.477,1,9,0.111,294,609,0.483,0.478,152,194,0.784,156,409,565,114,81,77,56,187,743
2017,Mike Conley,PG,29,MEM,69,68,1415,2292,23.2,0.604,1.5,10.8,6,34.5,2.1,0.8,11.8,26.3,7.5,2.5,10,0.209,6.5,-0.7,5.8,4.5,464,1009,0.46,171,419,0.408,293,590,0.497,0.545,316,368,0.859,31,211,242,433,92,19,156,126,1415
2017,Mike Dunleavy,SF,36,TOT,53,2,275,841,10.1,0.573,2.4,12.4,7.5,8.6,0.9,0.7,10.5,14,0.8,0.7,1.5,0.086,-1,-1.2,-2.2,0,93,220,0.423,53,134,0.396,40,86,0.465,0.543,36,45,0.8,18,97,115,50,15,7,28,67,275
2017,Mike Dunleavy,SF,36,ATL,30,0,169,475,11.9,0.597,3.1,12.5,7.9,9.5,0.9,0.9,9,14.3,0.7,0.5,1.2,0.12,-0.2,-0.8,-1,0.1,57,130,0.438,33,77,0.429,24,53,0.453,0.565,22,26,0.846,13,55,68,30,9,5,14,35,169
2017,Mike Dunleavy,SF,36,CLE,23,2,106,366,7.6,0.539,1.6,12.2,7.1,7.5,0.8,0.4,12.5,13.7,0.1,0.2,0.3,0.041,-2,-1.7,-3.7,-0.2,36,90,0.4,20,57,0.351,16,33,0.485,0.511,14,19,0.737,5,42,47,20,6,2,14,32,106
2017,Mike Miller,SF,36,DEN,20,0,28,151,7.8,0.586,2.2,26.1,14.3,18.3,0.6,0,35.2,10.4,0,0.1,0.1,0.021,-3,-0.8,-3.8,-0.1,9,23,0.391,8,20,0.4,1,3,0.333,0.565,2,2,1,3,36,39,22,2,0,13,9,28
2017,Mike Muscala,C,25,ATL,70,3,435,1237,14.4,0.596,6.9,14.4,10.7,11.9,1.2,2.8,13.1,14.8,1.8,1.6,3.4,0.132,-0.4,1.5,1.1,1,170,337,0.504,46,110,0.418,124,227,0.546,0.573,49,64,0.766,76,164,240,95,30,41,55,97,435
2017,Mike Scott,PF,28,ATL,18,0,45,195,5.9,0.36,5.7,15,10.4,12.5,1,1.3,11.3,15.8,-0.3,0.2,-0.1,-0.014,-5.3,-0.1,-5.3,-0.2,17,59,0.288,4,27,0.148,13,32,0.406,0.322,7,8,0.875,10,27,37,17,4,3,8,12,45
