name,x,y,make,zone
Ja Morant,-3,3,1,2
Ja Morant,-21,53,0,2
Ja Morant,-51,80,1,2
Ja Morant,22,103,1,2
Ja Morant,-25,106,1,2
Ja Morant,-9,4,1,2
Ja Morant,6,9,1,2
Ja Morant,-9,11,0,2
Ja Morant,100,231,1,3
Ja Morant,5,37,0,2
Ja Morant,18,80,0,2
Ja Morant,-10,0,0,2
Ja Morant,-41,83,0,2
Ja Morant,4,15,0,2
Ja Morant,-43,75,1,2
Ja Morant,65,92,0,2
Ja Morant,-121,232,0,3
Ja Morant,5,8,1,2
Ja Morant,2,15,1,2
Ja Morant,-5,1,1,2
Ja Morant,24,58,1,2
Ja Morant,0,261,1,3
Ja Morant,-6,6,1,2
Ja Morant,143,215,0,3
Ja Morant,-3,-5,1,2
Ja Morant,-57,55,1,2
Ja Morant,-215,128,1,3
Ja Morant,-58,106,1,2
Ja Morant,156,211,1,3
Ja Morant,2,8,1,2
Ja Morant,-7,6,1,2
Ja Morant,-231,68,0,3
Ja Morant,2,-1,0,2
Ja Morant,-117,179,0,2
Ja Morant,-39,37,1,2
Ja Morant,-52,105,1,2
Ja Morant,59,121,0,2
Ja Morant,-6,6,1,2
Ja Morant,5,8,1,2
Ja Morant,17,29,0,2
Ja Morant,3,13,1,2
Ja Morant,-5,-1,0,2
Ja Morant,-8,6,0,2
Ja Morant,34,16,0,2
Ja Morant,-46,24,0,2
Ja Morant,11,64,1,2
Ja Morant,6,0,0,2
Ja Morant,18,10,0,2
Ja Morant,-25,57,0,2
Ja Morant,2,42,0,2
Ja Morant,-3,6,1,2
Ja Morant,-9,7,1,2
Ja Morant,-18,10,0,2
Ja Morant,-29,268,1,3
Ja Morant,-57,37,0,2
Ja Morant,15,7,1,2
Ja Morant,96,246,0,3
Ja Morant,47,249,0,3
Ja Morant,-39,20,0,2
Ja Morant,20,8,1,2
Ja Morant,42,15,0,2
Ja Morant,-36,20,0,2
Ja Morant,-9,49,0,2
Ja Morant,-22,12,0,2
Ja Morant,-55,92,0,2
Ja Morant,-8,101,1,2
Ja Morant,-31,14,1,2
Ja Morant,-11,8,1,2
Ja Morant,-15,-5,0,2
Ja Morant,120,241,0,3
Ja Morant,-108,5,1,2
Ja Morant,-13,6,1,2
Ja Morant,1,8,1,2
Ja Morant,76,191,0,2
Ja Morant,-7,10,1,2
Ja Morant,-13,16,0,2
Ja Morant,3,4,1,2
Ja Morant,-22,47,0,2
Ja Morant,114,181,0,2
Ja Morant,8,16,1,2
Ja Morant,-22,6,0,2
Ja Morant,-16,11,0,2
Ja Morant,-4,10,0,2
Ja Morant,1,37,1,2
Ja Morant,-20,4,1,2
Ja Morant,-36,147,0,2
Ja Morant,0,-6,1,2
Ja Morant,-133,206,0,3
Ja Morant,-29,26,0,2
Ja Morant,12,21,1,2
Ja Morant,-3,61,1,2
Ja Morant,-9,24,0,2
Ja Morant,19,31,0,2
Ja Morant,22,10,0,2
Ja Morant,0,6,1,2
Ja Morant,-47,105,1,2
Ja Morant,-3,1,1,2
Ja Morant,3,10,1,2
Ja Morant,5,16,1,2
Ja Morant,0,18,0,2
Ja Morant,-20,109,1,2
Ja Morant,-73,107,0,2
Ja Morant,-9,-3,1,2
Ja Morant,13,6,0,2
Ja Morant,-35,95,1,2
Ja Morant,-6,10,1,2
Ja Morant,24,52,1,2
Ja Morant,-13,14,0,2
Ja Morant,13,6,0,2
Ja Morant,1,25,1,2
Ja Morant,-22,108,0,2
Ja Morant,7,1,1,2
Ja Morant,16,40,0,2
Ja Morant,-5,92,1,2
Ja Morant,72,136,0,2
Ja Morant,-117,247,0,3
Ja Morant,30,79,1,2
Ja Morant,-33,73,1,2
Ja Morant,-19,13,0,2
Ja Morant,3,5,1,2
Ja Morant,190,169,0,3
Ja Morant,11,-4,1,2
Ja Morant,5,24,0,2
Ja Morant,6,20,0,2
Ja Morant,103,240,1,3
Ja Morant,3,88,1,2
Ja Morant,8,-4,1,2
Ja Morant,63,109,1,2
Ja Morant,-8,62,0,2
Ja Morant,-57,263,0,3
Ja Morant,9,2,1,2
Ja Morant,10,13,0,2
Ja Morant,-17,16,1,2
Ja Morant,-52,126,1,2
Ja Morant,-13,18,0,2
Ja Morant,8,95,1,2
Ja Morant,-38,113,1,2
Ja Morant,-3,1,1,2
Ja Morant,-155,236,1,3
Ja Morant,3,18,1,2
Ja Morant,27,102,1,2
Ja Morant,9,2,1,2
Ja Morant,84,246,0,3
Ja Morant,51,157,1,2
Ja Morant,-16,106,1,2
Ja Morant,-69,62,0,2
Ja Morant,13,104,1,2
Ja Morant,0,14,1,2
Ja Morant,13,90,0,2
