GRID_TYPE,GAME_ID,GAME_EVENT_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_NAME,PERIOD,MINUTES_REMAINING,SECONDS_REMAINING,EVENT_TYPE,ACTION_TYPE,SHOT_TYPE,SHOT_ZONE_BASIC,SHOT_ZONE_AREA,SHOT_ZONE_RANGE,SHOT_DISTANCE,LOC_X,LOC_Y,SHOT_ATTEMPTED_FLAG,SHOT_MADE_FLAG,GAME_DATE,HTM,VTM
Shot Chart Detail,0021900622,562,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,8,20,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,17,29,1,0,20200117,MEM,CLE
Shot Chart Detail,0021900622,615,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,4,25,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,3,13,1,1,20200117,MEM,CLE
Shot Chart Detail,0021900622,651,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,0,59,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-5,-1,1,0,20200117,MEM,CLE
Shot Chart Detail,0021900622,662,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,0,28,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-8,6,1,0,20200117,MEM,CLE
Shot Chart Detail,0021900646,49,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,8,22,Missed Shot,Hook Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,34,16,1,0,20200120,MEM,NOP
Shot Chart Detail,0021900646,69,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,6,51,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,5,-46,24,1,0,20200120,MEM,NOP
Shot Chart Detail,0021900646,209,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,9,38,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,11,64,1,1,20200120,MEM,NOP
Shot Chart Detail,0021900646,220,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,8,5,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,6,0,1,0,20200120,MEM,NOP
Shot Chart Detail,0021900646,335,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,0,25,Missed Shot,Reverse Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,18,10,1,0,20200120,MEM,NOP
Shot Chart Detail,0021900646,375,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,9,47,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-25,57,1,0,20200120,MEM,NOP
Shot Chart Detail,0021900646,436,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,5,19,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,2,42,1,0,20200120,MEM,NOP
Shot Chart Detail,0021900646,558,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,8,45,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,-3,6,1,1,20200120,MEM,NOP
Shot Chart Detail,0021900646,566,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,7,52,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-9,7,1,1,20200120,MEM,NOP
Shot Chart Detail,0021900646,574,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,7,31,Missed Shot,Driving Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-18,10,1,0,20200120,MEM,NOP
Shot Chart Detail,0021900646,619,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,5,10,Made Shot,Pullup Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,26,-29,268,1,1,20200120,MEM,NOP
Shot Chart Detail,0021900646,630,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,4,5,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,6,-57,37,1,0,20200120,MEM,NOP
Shot Chart Detail,0021900646,647,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,2,27,Made Shot,Cutting Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,15,7,1,1,20200120,MEM,NOP
Shot Chart Detail,0021900646,675,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,0,28,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,96,246,1,0,20200120,MEM,NOP
Shot Chart Detail,0021900657,19,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,10,29,Missed Shot,Step Back Jump shot,3PT Field Goal,Above the Break 3,Center(C),24+ ft.,25,47,249,1,0,20200122,BOS,MEM
Shot Chart Detail,0021900657,59,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,6,54,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-39,20,1,0,20200122,BOS,MEM
Shot Chart Detail,0021900657,181,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,9,40,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,20,8,1,1,20200122,BOS,MEM
Shot Chart Detail,0021900657,218,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,6,10,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,42,15,1,0,20200122,BOS,MEM
Shot Chart Detail,0021900657,387,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,7,38,Missed Shot,Driving Finger Roll Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-36,20,1,0,20200122,BOS,MEM
Shot Chart Detail,0021900670,185,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,11,9,Missed Shot,Driving Layup Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),Less Than 8 ft.,4,-9,49,1,0,20200124,DET,MEM
Shot Chart Detail,0021900670,192,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,10,41,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-22,12,1,0,20200124,DET,MEM
Shot Chart Detail,0021900670,215,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,8,45,Missed Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Left Side(L),8-16 ft.,10,-55,92,1,0,20200124,DET,MEM
Shot Chart Detail,0021900670,239,1629630,Ja Morant,1610612763,Memphis Grizzlies,2,6,58,Made Shot,Driving Floating Jump Shot,2PT Field Goal,In The Paint (Non-RA),Center(C),8-16 ft.,10,-8,101,1,1,20200124,DET,MEM
Shot Chart Detail,0021900670,381,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,8,34,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,3,-31,14,1,1,20200124,DET,MEM
Shot Chart Detail,0021900670,487,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,0,49,Made Shot,Driving Finger Roll Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-11,8,1,1,20200124,DET,MEM
Shot Chart Detail,0021900670,496,1629630,Ja Morant,1610612763,Memphis Grizzlies,3,0,12,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-15,-5,1,0,20200124,DET,MEM
Shot Chart Detail,0021900670,519,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,11,42,Missed Shot,Jump Shot,3PT Field Goal,Above the Break 3,Right Side Center(RC),24+ ft.,26,120,241,1,0,20200124,DET,MEM
Shot Chart Detail,0021900670,611,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,4,27,Made Shot,Driving Floating Jump Shot,2PT Field Goal,Mid-Range,Left Side(L),8-16 ft.,10,-108,5,1,1,20200124,DET,MEM
Shot Chart Detail,0021900670,637,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,2,28,Made Shot,Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-13,6,1,1,20200124,DET,MEM
Shot Chart Detail,0021900670,655,1629630,Ja Morant,1610612763,Memphis Grizzlies,4,1,0,Made Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,0,1,8,1,1,20200124,DET,MEM
Shot Chart Detail,0021900690,27,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,9,39,Missed Shot,Step Back Jump shot,2PT Field Goal,Mid-Range,Right Side Center(RC),16-24 ft.,20,76,191,1,0,20200126,MEM,PHX
Shot Chart Detail,0021900690,55,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,7,33,Made Shot,Running Dunk Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,1,-7,10,1,1,20200126,MEM,PHX
Shot Chart Detail,0021900690,59,1629630,Ja Morant,1610612763,Memphis Grizzlies,1,6,57,Missed Shot,Driving Layup Shot,2PT Field Goal,Restricted Area,Center(C),Less Than 8 ft.,2,-13,16,1,0,20200126,MEM,PHX
